MDL16CS001 :8.46941
MDL16CS002 :8.46897
MDL16CS003 :5.63209
MDL16CS004 :6.10062
MDL16CS005 :4.93174
MDL16CS006 :8.17465
MDL16CS007 :9.09087
MDL16CS008 :5.9242
MDL16CS009 :8.10151
MDL16CS010 :7.86481
MDL16CS011 :6.54743
MDL16CS012 :8.56694
MDL16CS013 :8.77394
MDL16CS014 :2.51773
MDL16CS015 :8.61392
MDL16CS016 :8.21942
MDL16CS017 :7.793
MDL16CS018 :7.20257
MDL16CS019 :7.13874
MDL16CS020 :8.6516
MDL16CS021 :8.99157
MDL16CS022 :7.0594
MDL16CS023 :9.50044
MDL16CS024 :5.93883
MDL16CS025 :7.99424
MDL16CS026 :7.97163
MDL16CS027 :8.26463
MDL16CS028 :9.2141
MDL16CS029 :8.74689
MDL16CS030 :7.9867
MDL16CS031 :6.85195
MDL16CS032 :8.71277
MDL16CS033 :3.35683
MDL16CS034 :9.01418
MDL16CS035 :7.86968
MDL16CS036 :8.44503
MDL16CS037 :8.96188
MDL16CS038 :8.56206
MDL16CS039 :8.53679
MDL16CS040 :8.30186
MDL16CS041 :7.57846
MDL16CS042 :9.14362
MDL16CS043 :8.90248
MDL16CS044 :9.43528
MDL16CS045 :7.36481
MDL16CS046 :8.94194
MDL16CS047 :8.90337
MDL16CS048 :8.50577
MDL16CS049 :3.16046
MDL16CS050 :9.59043
MDL16CS051 :5.65204
MDL16CS052 :8.85018
MDL16CS053 :6.52172
MDL16CS054 :7.85771
MDL16CS055 :9.12323
MDL16CS056 :9.42021
MDL16CS057 :7.17465
MDL16CS058 :8.56915
MDL16CS059 :9.27172
MDL16CS060 :8.20612
MDL16CS061 :5.73848
MDL16CS062 :8.76596
MDL16CS063 :8.33644
MDL16CS064 :8.11392
MDL16CS065 :8.57801
MDL16CS066 :8.33422
MDL16CS067 :8.06782
MDL16CS068 :7.41135
MDL16CS069 :8.66312
MDL16CS070 :8.00133
MDL16CS071 :9.24468
MDL16CS072 :8.37588
MDL16CS073 :9.21543
MDL16CS074 :9.09264
MDL16CS075 :7.19149
MDL16CS076 :6.97518
MDL16CS077 :8.15869
MDL16CS078 :9.1773
MDL16CS079 :9.25354
MDL16CS080 :6.56205
MDL16CS081 :8.58378
MDL16CS082 :8.29433
MDL16CS083 :8.16135
MDL16CS084 :7.9406
MDL16CS085 :5.77394
MDL16CS086 :8.87766
MDL16CS087 :9.33821
MDL16CS088 :9.07358
MDL16CS089 :8.95612
MDL16CS090 :7.55497
MDL16CS091 :8.78502
MDL16CS092 :8.52261
MDL16CS093 :9.39007
MDL16CS094 :7.25842
MDL16CS095 :9.15647
MDL16CS096 :8.8914
MDL16CS097 :8.14627
MDL16CS098 :3.76374
MDL16CS099 :9.06029
MDL16CS100 :8.90381
MDL16CS101 :8.7203
MDL16CS102 :8.01906
MDL16CS103 :8.71454
MDL16CS104 :7.09442
MDL16CS105 :8.57003
MDL16CS106 :8.66844
MDL16CS107 :8.80629
MDL16CS108 :8.80142
MDL16CS109 :9.51551
MDL16CS110 :9.53812
MDL16CS111 :8.79832
MDL16CS112 :8.64007
MDL16CS113 :7.70168
MDL16CS114 :8.05319
MDL16CS115 :8.3187
MDL16CS116 :7.68617
MDL16CS117 :8.74601
MDL16CS118 :7.84176
MDL16CS119 :8.60284
MDL16CS120 :7.12234
MDL16CS121 :3.76906
MDL16CS122 :8.46321
MDL16CS123 :9.11348
